"run","seed_percent","number_visits_sum"
1,1e-05,7269.35967592315
2,1e-05,7404.99109579495
3,1e-05,7689.35238026715
4,1e-05,6983.72536139137
5,1e-05,7188.63201414222
6,5e-05,7878.2180867642
7,5e-05,6564.2455327148
8,5e-05,6154.49347843193
9,5e-05,6503.49274160317
10,5e-05,7042.41711401771
11,1e-04,7538.74791772912
12,1e-04,5469.9702491613
13,1e-04,7773.6265687276
14,1e-04,7819.13364088373
15,1e-04,8198.61560424921
16,5e-04,7369.10339325975
17,5e-04,7803.32257687493
18,5e-04,6979.6472365487
19,5e-04,7436.42186242824
20,5e-04,7138.98211747347
21,0.001,7091.28659797596
22,0.001,7365.6674231643
23,0.001,7315.43207642513
24,0.001,7585.12679243586
25,0.001,7359.91220084351
26,0.005,5734.59322049195
27,0.005,6175.50974038237
28,0.005,7833.82956788773
29,0.005,7078.13108165202
30,0.005,6787.81350955426
31,0.01,6196.2233922905
32,0.01,6308.72839197903
33,0.01,6461.5933934456
34,0.01,6382.8992940819
35,0.01,7211.99096342048
36,0.05,5991.8285448942
37,0.05,5613.28073258141
38,0.05,6309.66206468826
39,0.05,6008.73551630058
40,0.05,6688.68932111864
41,0.1,6751.1795297125
42,0.1,6084.17168517975
43,0.1,5750.32999094358
44,0.1,5187.1491094719
45,0.1,5616.06615826655
46,0.5,6402.47034295091
47,0.5,6022.69972448862
48,0.5,5502.85257223401
49,0.5,5581.13092065766
50,0.5,5713.56333505792
51,1,5650.03830344942
52,1,5507.80556828447
53,1,5357.02204519233
54,1,4778.53248857225
55,1,6211.11657920848
