"run","seed_percent","","","",""
1,1e-05,3102,1154,1964,1852
2,1e-05,1910,2407,1818,2107
3,1e-05,3383,2269,1057,1848
4,1e-05,2357,464,2421,2513
5,1e-05,896,2370,2055,2665
6,5e-05,3509,1984,1056,2205
7,5e-05,1517,1881,1632,2265
8,5e-05,1062,980,1875,3055
9,5e-05,2385,1710,1379,1777
10,5e-05,2079,1849,1127,2772
11,1e-04,1697,2078,1736,2931
12,1e-04,1513,3340,770,462
13,1e-04,1719,2222,3660,1072
14,1e-04,507,3499,1781,2936
15,1e-04,1576,3661,3176,727
16,5e-04,2277,5190,739,35
17,5e-04,2089,291,1191,5160
18,5e-04,1032,1943,223,4657
19,5e-04,3240,448,2707,2081
20,5e-04,309,1956,1887,3867
21,0.001,2089,5167,491,235
22,0.001,1623,4171,83,2570
23,0.001,2348,809,2018,3225
24,0.001,2348,5770,312,188
25,0.001,2906,991,1867,2758
26,0.005,2129,572,1566,2373
27,0.005,1550,1171,3236,1399
28,0.005,4655,252,1013,3285
29,0.005,1873,3666,2380,409
30,0.005,4023,2680,577,653
31,0.01,1748,320,3825,1487
32,0.01,2753,2527,424,1993
33,0.01,2726,3253,194,1652
34,0.01,2361,4140,5,1073
35,0.01,4146,2439,788,1340
36,0.05,2399,1323,3293,491
37,0.05,349,2375,2299,1972
38,0.05,26,3845,2933,864
39,0.05,1963,2216,2533,969
40,0.05,4121,2093,113,1873
41,0.1,682,3054,4454,85
42,0.1,200,3200,3499,669
43,0.1,2065,2083,2470,753
44,0.1,1489,2247,2470,336
45,0.1,207,2609,940,3224
46,0.5,3904,3603,440,5
47,0.5,141,1788,1727,3980
48,0.5,648,154,1308,4620
49,0.5,687,2881,1773,1963
50,0.5,281,2563,2821,1729
51,1,3825,1899,1343,15
52,1,3106,1165,2600,133
53,1,3347,678,344,2441
54,1,637,1044,2479,1994
55,1,201,1559,4210,2011
