"run","seed_percent","number_visits_sum"
1,1e-05,806.562911431629
9,5e-05,805.401245140332
10,5e-05,796.976948287284
11,1e-04,828.551123551496
12,1e-04,772.79423121577
13,1e-04,816.830624062182
14,1e-04,860.142584622676
15,1e-04,900.317033675676
16,5e-04,835.667882789175
2,1e-05,798.124762113337
3,1e-05,772.357566496138
4,1e-05,807.535554393652
5,1e-05,820.503515223264
6,5e-05,850.556763014031
7,5e-05,825.297889454917
8,5e-05,730.153103487491
17,5e-04,930.375728453861
18,5e-04,890.316509840845
19,5e-04,829.467201998292
20,5e-04,833.291075961407
21,0.001,884.827271738284
22,0.001,746.90558461073
23,0.001,768.762619215791
24,0.001,809.541662305746
25,0.001,750.851210193946
26,0.005,744.597357726631
27,0.005,635.848499464009
28,0.005,770.877697832987
29,0.005,700.352728197651
30,0.005,731.470699726655
31,0.01,659.057022140777
32,0.01,630.248248874316
33,0.01,648.938886188312
34,0.01,741.41612156245
35,0.01,633.602252605163
36,0.05,561.512688461888
37,0.05,537.896348568974
38,0.05,645.741698649428
39,0.05,505.000511973261
40,0.05,633.023512402537
41,0.1,621.962970141335
42,0.1,602.005381481195
43,0.1,512.636955069125
44,0.1,514.59308072603
45,0.1,552.170315530348
46,0.5,628.037281567218
47,0.5,555.075521844356
48,0.5,592.423463129507
49,0.5,482.958335778125
50,0.5,506.472453569378
51,1,564.760044856359
52,1,543.032574419305
53,1,531.39882404601
54,1,497.778174520552
55,1,530.350198557961
