"run","seed_percent","","","",""
1,1e-05,3393,1348,2201,1996
2,1e-05,2138,2679,2041,2308
3,1e-05,3675,2588,1245,2008
4,1e-05,2615,590,2669,2767
5,1e-05,1042,2568,2272,2925
6,5e-05,3835,2197,1180,2509
7,5e-05,1635,2113,1799,2562
8,5e-05,1274,1157,2201,3451
9,5e-05,2676,1879,1561,2010
10,5e-05,2363,2135,1271,2968
11,1e-04,1933,2347,1926,3360
12,1e-04,1744,3597,879,571
13,1e-04,1930,2587,4013,1195
14,1e-04,588,3988,1948,3198
15,1e-04,1772,4066,3540,815
16,5e-04,2633,5678,880,46
17,5e-04,2490,344,1402,5647
18,5e-04,1248,2314,250,5179
19,5e-04,3692,537,3254,2642
20,5e-04,356,2246,2269,4353
21,0.001,2576,5709,609,304
22,0.001,2096,4810,100,3134
23,0.001,2891,1033,2549,3827
24,0.001,2872,6408,403,250
25,0.001,3552,1291,2472,3396
26,0.005,2701,676,2019,2971
27,0.005,2057,1653,4080,2056
28,0.005,5631,364,1412,4247
29,0.005,2528,4545,3091,664
30,0.005,4837,3466,757,910
31,0.01,2499,508,4687,2123
32,0.01,3780,3452,726,2885
33,0.01,3650,4279,321,2448
34,0.01,3218,4979,10,1576
35,0.01,5292,3470,1215,2043
36,0.05,3501,2173,4471,947
37,0.05,633,3377,3288,2897
38,0.05,41,4853,3925,1426
39,0.05,3111,3425,3794,1718
40,0.05,5254,3088,149,2812
41,0.1,1218,4217,5611,153
42,0.1,393,4383,4633,1266
43,0.1,3215,3250,3712,1460
44,0.1,2359,3217,3502,647
45,0.1,397,3673,1601,4241
46,0.5,5055,4770,961,8
47,0.5,308,2913,2844,5226
48,0.5,1232,358,2147,5489
49,0.5,1409,4250,3011,3205
50,0.5,616,3860,4163,2899
51,1,4844,2913,2257,28
52,1,4270,2045,3770,318
53,1,4464,1333,723,3591
54,1,1266,1847,3511,3013
55,1,471,2736,5638,3345
