"run","seed_percent","number_visits_sum"
1,1e-05,8072.0101778218
9,5e-05,7251.52394215749
10,5e-05,7826.8967115377
11,1e-04,8442.34477314616
12,1e-04,6084.76452748781
13,1e-04,8673.2850955111
14,1e-04,8723.15217422258
15,1e-04,9139.86375387833
16,5e-04,8241.41317927566
2,1e-05,8242.37708584666
3,1e-05,8556.58417346472
4,1e-05,7754.6205677891
5,1e-05,7985.44602412626
6,5e-05,8753.91067171493
7,5e-05,7294.41695383695
8,5e-05,6973.7874975256
17,5e-04,8731.06384953903
18,5e-04,7854.5753572965
19,5e-04,8475.75442716215
20,5e-04,8018.53628821739
21,0.001,7982.21525599354
22,0.001,8447.10749419783
23,0.001,8399.30477518025
24,0.001,8617.82642442585
25,0.001,8521.58561044045
26,0.005,6640.35589054718
27,0.005,7356.5131312001
28,0.005,9205.39741433835
29,0.005,8328.252914926
30,0.005,7933.76867767875
31,0.01,7379.59281487083
32,0.01,7698.01875441616
33,0.01,7824.91564516781
34,0.01,7578.32670215398
35,0.01,8713.89967130493
36,0.05,7504.95371245125
37,0.05,6994.80672100145
38,0.05,7668.60434111319
39,0.05,7680.73036242426
40,0.05,8199.80829328015
41,0.1,8274.97657283872
42,0.1,7568.79681162753
43,0.1,7370.16357042356
44,0.1,6542.39819487485
45,0.1,6980.05425619458
46,0.5,7951.20701235269
47,0.5,7636.99739023439
48,0.5,6730.37838650065
49,0.5,7304.13430303554
50,0.5,7394.33244528172
51,1,7081.77764561164
52,1,7003.54810896088
53,1,6810.89848177046
54,1,6154.49891697543
55,1,7979.7336264036
