"run","seed_percent","","","",""
1,1e-05,3,1,2,3
2,1e-05,2,1,2,3
3,1e-05,2,2,0,2
4,1e-05,2,0,4,2
5,1e-05,0,1,2,3
6,5e-05,3,3,2,0
7,5e-05,2,2,2,2
8,5e-05,1,1,2,3
9,5e-05,3,2,1,0
10,5e-05,2,1,0,4
11,1e-04,4,2,1,1
12,1e-04,3,3,1,0
13,1e-04,3,2,3,1
14,1e-04,0,3,3,1
15,1e-04,1,3,4,0
16,5e-04,3,3,1,0
17,5e-04,1,0,0,8
18,5e-04,2,2,0,3
19,5e-04,3,1,2,1
20,5e-04,0,2,2,3
21,0.001,1,7,0,0
22,0.001,2,3,0,3
23,0.001,2,0,1,2
24,0.001,2,4,1,0
25,0.001,3,0,1,2
26,0.005,2,2,1,1
27,0.005,0,1,2,2
28,0.005,4,0,1,2
29,0.005,2,4,1,0
30,0.005,3,2,2,0
31,0.01,1,0,4,1
32,0.01,1,4,0,0
33,0.01,2,3,0,1
34,0.01,1,5,0,1
35,0.01,2,1,1,1
36,0.05,1,1,2,0
37,0.05,0,2,0,1
38,0.05,0,3,2,0
39,0.05,1,1,1,1
40,0.05,3,1,0,1
41,0.1,1,1,3,0
42,0.1,0,2,2,0
43,0.1,0,1,1,0
44,0.1,1,2,1,0
45,0.1,0,1,1,2
46,0.5,2,2,0,0
47,0.5,0,1,1,2
48,0.5,0,0,1,2
49,0.5,1,1,1,1
50,0.5,0,1,1,1
51,1,2,1,0,0
52,1,2,1,1,0
53,1,1,0,0,2
54,1,0,0,2,1
55,1,0,1,1,1
