"run","seed_percent","number_visits_sum"
1,1e-05,33.990584449939
2,1e-05,32.5905538837591
3,1e-05,28.9709814597776
4,1e-05,33.9563114316334
5,1e-05,32.0862063387944
6,5e-05,34.2584766036874
7,5e-05,34.5097120405351
8,5e-05,28.3340612396933
9,5e-05,31.5275708745248
10,5e-05,31.1361623550241
11,1e-04,36.4656184983756
12,1e-04,31.7703917121066
13,1e-04,35.482636717424
14,1e-04,35.5806720639348
15,1e-04,34.8998618475763
16,5e-04,33.5845923084794
17,5e-04,39.1937166099964
18,5e-04,33.2311528452498
19,5e-04,32.5893862418349
20,5e-04,33.6171428269737
21,0.001,34.9236389859594
22,0.001,30.5346802421709
23,0.001,28.2436474386557
24,0.001,34.0821944851235
25,0.001,25.8220786225342
26,0.005,29.1913437922424
27,0.005,19.578522311582
28,0.005,28.9837342085985
29,0.005,27.2339975641386
30,0.005,31.204958602095
31,0.01,24.1945094010568
32,0.01,23.5132329998434
33,0.01,25.0680536816086
34,0.01,29.680670104375
35,0.01,23.7591969212412
36,0.05,18.0429606888214
37,0.05,18.1518061335222
38,0.05,22.173310809659
39,0.05,14.5240612961962
40,0.05,20.2590646650717
41,0.1,21.5885021875251
42,0.1,17.710373790404
43,0.1,12.4628480710915
44,0.1,16.7249149905005
45,0.1,14.7715331797276
46,0.5,17.7975816427041
47,0.5,15.2352515938941
48,0.5,15.3999751063583
49,0.5,12.9599174146716
50,0.5,15.6704046205389
51,1,15.4188245492614
52,1,16.0919835990561
53,1,15.2429957291683
54,1,12.8180628516781
55,1,13.6934553873612
