"run","seed_percent","","","",""
1,1e-05,2940,629,2042,341
2,1e-05,2187,1595,685,759
3,1e-05,496,1461,687,2647
4,1e-05,1944,588,1094,3285
5,1e-05,1774,1553,720,1277
6,5e-05,1625,1058,2464,601
7,5e-05,532,1874,448,3138
8,5e-05,887,2605,2082,749
9,5e-05,1851,834,2685,1002
10,5e-05,2147,1629,537,1450
11,1e-04,2102,863,2457,528
12,1e-04,2011,311,2629,1352
13,1e-04,1066,1851,2766,462
14,1e-04,2018,472,590,1693
15,1e-04,589,1557,1938,1343
16,5e-04,1416,2044,210,2431
17,5e-04,648,2157,1439,2104
18,5e-04,601,780,2084,2784
19,5e-04,1151,1597,2096,1859
20,5e-04,434,3144,65,1599
21,0.001,326,3585,608,387
22,0.001,3309,493,2165,642
23,0.001,635,445,1642,2601
24,0.001,1859,713,947,1778
25,0.001,1638,1889,1678,242
26,0.005,4360,124,1624,364
27,0.005,2155,517,2008,782
28,0.005,1985,1504,1210,565
29,0.005,1483,2379,1128,266
30,0.005,2166,1679,1361,315
31,0.01,1145,1435,2427,79
32,0.01,1105,1343,795,1516
33,0.01,1476,2548,171,1588
34,0.01,2838,68,2264,864
35,0.01,1365,1002,2761,413
36,0.025,873,1171,1354,1031
37,0.025,998,1156,1364,702
38,0.025,844,1199,1227,980
39,0.025,2013,699,444,1307
40,0.025,1365,1699,1013,762
41,0.05,925,956,41,2439
42,0.05,491,262,1216,2828
43,0.05,134,289,1907,2699
44,0.05,771,1973,259,1561
45,0.05,480,2798,99,1490
46,0.075,4065,564,41,485
47,0.075,901,1640,804,693
48,0.075,90,1629,249,3772
49,0.075,695,1404,718,1668
50,0.075,1257,1776,82,1375
51,0.1,2012,1329,1075,40
52,0.1,1757,1540,20,1228
53,0.1,1511,433,3284,170
54,0.1,743,676,1480,1225
55,0.1,2307,2129,262,301
56,0.25,1085,728,1122,878
57,0.25,2007,1222,83,1205
58,0.25,14,1319,1241,1795
59,0.25,2942,312,1097,454
60,0.25,908,1050,913,1217
61,0.5,235,11,5518,135
62,0.5,909,236,4357,1
63,0.5,439,185,2749,933
64,0.5,34,1834,1868,589
65,0.5,7,2446,156,2147
66,0.75,1695,873,930,264
67,0.75,1544,1033,85,1719
68,0.75,617,770,506,2076
69,0.75,794,2521,637,524
70,0.75,1339,298,1587,954
71,1,937,335,2042,689
72,1,1365,417,186,2024
73,1,1499,36,2019,886
74,1,6218,7,873,8
75,1,2291,531,1590,210
