"run","seed_percent","number_visits_sum"
1,1e-05,8589.29047967608
2,1e-05,8781.99480936717
3,1e-05,9118.12734863426
4,1e-05,8260.99194103803
5,1e-05,8477.80912823582
6,5e-05,9324.44318935835
7,5e-05,7773.42062950958
8,5e-05,7588.64141957547
9,5e-05,7751.15171360528
10,5e-05,8348.70701835272
11,1e-04,9084.83346083815
12,1e-04,6497.53411866352
13,1e-04,9283.73751309557
14,1e-04,9327.11819612617
15,1e-04,9757.59126520932
16,5e-04,8839.96031850151
17,5e-04,9396.45908498467
18,5e-04,8507.17547321292
19,5e-04,9363.47309645908
20,5e-04,8696.73933136129
21,0.001,8678.67770133391
22,0.001,9378.20750916511
23,0.001,9391.88405399309
24,0.001,9400.30197379021
25,0.001,9630.14978358272
26,0.005,7529.79611858178
27,0.005,8601.29141072092
28,0.005,10527.3882788929
29,0.005,9594.87310785624
30,0.005,9036.05951145331
31,0.01,8615.08923877582
32,0.01,9259.69420935095
33,0.01,9297.87737520946
34,0.01,8768.11752433771
35,0.01,10346.3480491283
36,0.05,9261.92979181495
37,0.05,8582.84896573697
38,0.05,9065.70833529273
39,0.05,9740.27328190999
40,0.05,9823.41482047619
41,0.1,9855.31045617198
42,0.1,9187.3980809585
43,0.1,9376.22748420539
44,0.1,8124.52161753725
45,0.1,8488.66054355238
46,0.5,9543.49408066455
47,0.5,9487.06493750241
48,0.5,8014.71968717315
49,0.5,9463.14470609219
50,0.5,9425.8044077642
51,1,8643.79100783048
52,1,8726.10747044723
53,1,8474.87904736022
54,1,7825.63170380072
55,1,10068.9423944915
