"run","seed_percent","","","",""
1,1e-05,3284,1261,2105,1940
2,1e-05,2042,2568,1947,2226
3,1e-05,3566,2452,1154,1946
4,1e-05,2507,523,2565,2666
5,1e-05,975,2487,2185,2830
6,5e-05,3707,2109,1124,2384
7,5e-05,1588,2017,1731,2437
8,5e-05,1171,1071,2051,3295
9,5e-05,2548,1811,1482,1909
10,5e-05,2236,2009,1207,2897
11,1e-04,1829,2237,1842,3176
12,1e-04,1648,3503,830,516
13,1e-04,1841,2419,3880,1144
14,1e-04,551,3798,1881,3098
15,1e-04,1687,3907,3387,777
16,5e-04,2472,5519,809,40
17,5e-04,2302,319,1298,5478
18,5e-04,1139,2137,238,4993
19,5e-04,3487,491,3001,2384
20,5e-04,334,2110,2086,4167
21,0.001,2344,5520,548,267
22,0.001,1849,4556,92,2881
23,0.001,2629,914,2288,3561
24,0.001,2628,6204,354,214
25,0.001,3253,1127,2160,3090
26,0.005,2421,617,1794,2698
27,0.005,1787,1392,3722,1701
28,0.005,5240,296,1180,3812
29,0.005,2190,4167,2730,508
30,0.005,4517,3105,651,763
31,0.01,2104,388,4345,1778
32,0.01,3304,2995,537,2424
33,0.01,3211,3822,242,2023
34,0.01,2801,4672,6,1289
35,0.01,4800,2949,957,1640
36,0.05,2959,1694,3950,658
37,0.05,455,2888,2807,2432
38,0.05,31,4456,3483,1096
39,0.05,2500,2808,3165,1267
40,0.05,4801,2578,127,2316
41,0.1,885,3698,5165,108
42,0.1,265,3862,4157,903
43,0.1,2616,2646,3092,1023
44,0.1,1897,2755,3025,448
45,0.1,274,3183,1220,3812
46,0.5,4610,4298,629,6
47,0.5,197,2315,2249,4726
48,0.5,885,222,1696,5211
49,0.5,959,3607,2343,2553
50,0.5,395,3236,3527,2268
51,1,4460,2406,1759,18
52,1,3764,1546,3224,192
53,1,4006,938,481,3050
54,1,882,1390,3040,2514
55,1,291,2080,5055,2643
