"run","seed_percent","","","",""
1,1e-05,1434,486,852,955
2,1e-05,842,1096,793,999
3,1e-05,1606,946,438,904
4,1e-05,1057,183,1179,1173
5,1e-05,382,1162,897,1173
6,5e-05,1674,907,499,955
7,5e-05,788,846,760,976
8,5e-05,455,424,811,1292
9,5e-05,1111,788,589,783
10,5e-05,932,780,504,1383
11,1e-04,784,890,845,1274
12,1e-04,624,1684,341,181
13,1e-04,750,980,1717,488
14,1e-04,215,1488,846,1401
15,1e-04,701,1600,1491,333
16,5e-04,1037,2337,333,15
17,5e-04,892,127,531,2440
18,5e-04,448,846,109,2114
19,5e-04,1544,203,1170,797
20,5e-04,137,948,809,1776
21,0.001,866,2472,203,96
22,0.001,701,1817,38,1063
23,0.001,1011,342,834,1487
24,0.001,981,2521,127,80
25,0.001,1276,423,739,1182
26,0.005,912,306,690,980
27,0.005,653,448,1277,512
28,0.005,1910,102,448,1257
29,0.005,736,1515,990,146
30,0.005,1675,1075,281,276
31,0.01,655,127,1567,574
32,0.01,982,985,153,723
33,0.01,1051,1217,68,589
34,0.01,909,1658,2,448
35,0.01,1583,881,295,497
36,0.05,807,428,1130,152
37,0.05,116,826,790,662
38,0.05,9,1444,1047,302
39,0.05,624,691,813,315
40,0.05,1497,714,50,648
41,0.1,236,1023,1625,32
42,0.1,66,1084,1203,198
43,0.1,659,653,789,222
44,0.1,471,755,816,112
45,0.1,66,860,298,1149
46,0.5,1319,1216,112,2
47,0.5,41,535,508,1350
48,0.5,179,41,389,1777
49,0.5,190,875,493,565
50,0.5,82,774,868,490
51,1,1346,576,383,6
52,1,1009,332,823,37
53,1,1111,181,95,747
54,1,174,300,792,615
55,1,51,432,1376,568
