"run","seed_percent","","","",""
1,1e-05,3739,853,2702,453
2,1e-05,2694,2135,947,1028
3,1e-05,697,1927,946,3363
4,1e-05,2626,786,1467,4056
5,1e-05,2213,2094,982,1711
6,5e-05,2183,1426,3049,832
7,5e-05,727,2492,604,3944
8,5e-05,1196,3356,2764,1004
9,5e-05,2395,1113,3323,1380
10,5e-05,2737,2124,745,1912
11,1e-04,2854,1109,3224,682
12,1e-04,2809,438,3370,1740
13,1e-04,1405,2473,3573,649
14,1e-04,2591,647,812,2268
15,1e-04,811,2005,2538,1819
16,5e-04,1846,2683,295,3268
17,5e-04,886,2848,1982,2913
18,5e-04,808,941,2824,3750
19,5e-04,1530,2263,2919,2438
20,5e-04,569,4107,99,2207
21,0.001,481,4591,801,533
22,0.001,4394,677,2978,881
23,0.001,889,603,2178,3480
24,0.001,2546,1015,1241,2361
25,0.001,2248,2600,2356,296
26,0.005,5838,163,2205,499
27,0.005,3185,795,2938,1095
28,0.005,2812,2262,1823,830
29,0.005,2139,3417,1631,363
30,0.005,3015,2391,1925,384
31,0.01,1677,2233,3415,127
32,0.01,1711,2071,1255,2330
33,0.01,2235,3734,239,2397
34,0.01,4137,97,3235,1361
35,0.01,2039,1527,4019,625
36,0.025,1410,1867,2173,1667
37,0.025,1565,1855,2120,1137
38,0.025,1373,1887,1954,1550
39,0.025,3053,1132,703,2003
40,0.025,2149,2706,1664,1228
41,0.05,1416,1447,66,3543
42,0.05,832,415,1903,4228
43,0.05,196,490,2989,4019
44,0.05,1254,3109,418,2468
45,0.05,774,4076,143,2357
46,0.075,5608,891,68,779
47,0.075,1473,2616,1306,1150
48,0.075,157,2639,415,5610
49,0.075,1183,2344,1200,2736
50,0.075,2049,2817,141,2227
51,0.1,3089,2143,1719,63
52,0.1,2779,2469,29,2007
53,0.1,2451,705,4963,279
54,0.1,1289,1154,2425,2030
55,0.1,3668,3366,465,535
56,0.25,1830,1270,1906,1514
57,0.25,3205,2043,145,2006
58,0.25,21,2180,2080,2863
59,0.25,4566,560,1878,816
60,0.25,1577,1788,1593,2076
61,0.5,405,18,7202,241
62,0.5,1522,424,6119,1
63,0.5,798,342,4180,1597
64,0.5,65,2941,3007,1036
65,0.5,12,3693,281,3294
66,0.75,2732,1519,1614,494
67,0.75,2594,1803,163,2908
68,0.75,1089,1360,907,3334
69,0.75,1410,4053,1162,936
70,0.75,2316,544,2684,1692
71,1,1661,610,3314,1239
72,1,2300,779,355,3199
73,1,2530,65,3277,1564
74,1,8524,10,1518,12
75,1,3721,962,2672,394
