"run","seed_percent","","","",""
1,1e-05,2399,849,1476,1493
2,1e-05,1446,1844,1369,1647
3,1e-05,2651,1671,773,1462
4,1e-05,1800,328,1903,1946
5,1e-05,663,1886,1554,2023
6,5e-05,2747,1526,822,1642
7,5e-05,1230,1426,1266,1693
8,5e-05,783,728,1390,2264
9,5e-05,1842,1322,1030,1341
10,5e-05,1580,1364,855,2223
11,1e-04,1297,1550,1369,2190
12,1e-04,1105,2669,581,326
13,1e-04,1297,1662,2842,822
14,1e-04,374,2587,1393,2304
15,1e-04,1197,2763,2459,557
16,5e-04,1727,3960,556,26
17,5e-04,1536,216,896,4003
18,5e-04,763,1441,176,3540
19,5e-04,2507,337,1987,1433
20,5e-04,233,1521,1386,2942
21,0.001,1505,4009,354,167
22,0.001,1172,3093,63,1840
23,0.001,1710,584,1441,2414
24,0.001,1693,4317,222,136
25,0.001,2121,716,1296,2007
26,0.005,1532,461,1125,1686
27,0.005,1103,790,2233,916
28,0.005,3305,177,729,2237
29,0.005,1289,2590,1692,264
30,0.005,2872,1853,439,463
31,0.01,1159,218,2683,1004
32,0.01,1783,1710,272,1295
33,0.01,1840,2173,125,1065
34,0.01,1588,2890,3,740
35,0.01,2818,1589,526,881
36,0.05,1497,802,2099,288
37,0.05,213,1514,1454,1231
38,0.05,17,2577,1908,543
39,0.05,1182,1323,1542,583
40,0.05,2727,1318,83,1186
41,0.1,423,1916,2957,56
42,0.1,122,2021,2240,383
43,0.1,1247,1247,1498,429
44,0.1,894,1403,1533,203
45,0.1,123,1623,562,2100
46,0.5,2486,2279,231,4
47,0.5,79,1039,995,2532
48,0.5,357,82,759,3172
49,0.5,375,1711,993,1122
50,0.5,157,1513,1685,980
51,1,2493,1121,764,10
52,1,1927,659,1577,72
53,1,2106,367,187,1455
54,1,348,591,1517,1188
55,1,105,869,2627,1134
