"run","seed_percent","","","",""
1,1e-05,0.716617830677087,0.587303152279645,0.664862906532085,0.559257164645821
2,1e-05,0.73258177084414,0.634788695172152,0.562761989764393,0.584930311835272
3,1e-05,0.509887567048967,0.650477073519336,0.564890096995734,0.707634846223332
4,1e-05,0.640281641653395,0.585964695388425,0.607598467886791,0.744698844888203
5,1e-05,0.717315737572703,0.626619534108718,0.566385705481753,0.62763942299007
6,5e-05,0.631261814934805,0.609997018789257,0.740237131370149,0.55504690840367
7,5e-05,0.558526033207206,0.650796568931849,0.563377248628601,0.728940286150075
8,5e-05,0.596725663873772,0.677953449712649,0.65205111742659,0.589006847358121
9,5e-05,0.673916479358234,0.591410487300874,0.737522668361596,0.569509916928889
10,5e-05,0.686617210087398,0.666079878051387,0.555296128377645,0.652401253307746
11,1e-04,0.624067444265221,0.649125010401714,0.666482672763537,0.644140283585844
12,1e-04,0.572059605768753,0.494552291013749,0.68325604308879,0.665752966494514
13,1e-04,0.614105667095404,0.625195751517148,0.683533260797676,0.522204414384957
14,1e-04,0.677129239585884,0.545609685462987,0.528375058117808,0.630900123307995
15,1e-04,0.557597829192702,0.654792727830631,0.669104384142808,0.615998072999411
16,5e-04,0.635952854738383,0.635821740712627,0.439351696638066,0.622644436921777
17,5e-04,0.505812949653916,0.611114462624298,0.552456878221904,0.569156129121887
18,5e-04,0.580470544133823,0.69986409761642,0.607683072021032,0.630492472442394
19,5e-04,0.579609825786201,0.525469845748121,0.568574311451196,0.614095353565644
20,5e-04,0.56121953665004,0.67448502629872,0.341508250548628,0.578446175489306
21,0.001,0.431908310386423,0.710665256822711,0.599335447191159,0.500178585224257
22,0.001,0.635563109417954,0.470337886819173,0.58144031691639,0.481564023862672
23,0.001,0.474203672357061,0.498045491264148,0.595177888742389,0.633826667369194
24,0.001,0.589484360369923,0.475893703175157,0.570228605172542,0.608993604456918
25,0.001,0.5706412757339,0.577688437418055,0.555094368871184,0.564220095345475
26,0.005,0.662192439134129,0.501018869146632,0.562804411394524,0.441842515711272
27,0.005,0.504382711700085,0.335617756713948,0.496857057907513,0.44100846015233
28,0.005,0.516898382633456,0.458519679369097,0.430454418967147,0.376281906636405
29,0.005,0.490853436819598,0.546425614981097,0.460419215766457,0.367171060012693
30,0.005,0.568779867329038,0.530500593931264,0.508128159021189,0.643575299269164
31,0.01,0.441588280447635,0.440943791089631,0.553803619910713,0.184903345880475
