"run","seed_percent","number_visits_sum"
1,1e-05,1182.15884572329
9,5e-05,1015.7561561624
10,5e-05,1129.26113442544
11,1e-04,1183.27778516474
12,1e-04,909.113833458067
13,1e-04,1230.08131283928
14,1e-04,1232.42105393777
15,1e-04,1283.4494592009
16,5e-04,1163.13487282005
2,1e-05,1155.81773545152
3,1e-05,1214.52978852971
4,1e-05,1139.13604521392
5,1e-05,1116.05600976471
6,5e-05,1272.61029324301
7,5e-05,1068.66895156355
8,5e-05,908.752179932512
17,5e-04,1270.88023132498
18,5e-04,1106.09387936157
19,5e-04,1176.36474483172
20,5e-04,1180.59700668913
21,0.001,1167.25863904082
22,0.001,1135.80071915906
23,0.001,1185.79272417338
24,0.001,1144.40770461625
25,0.001,1157.37725459787
26,0.005,951.557321967372
27,0.005,906.242021748101
28,0.005,1163.63526718121
29,0.005,1069.79863009719
30,0.005,1059.5381881206
31,0.01,930.000396061533
32,0.01,885.345916325367
33,0.01,909.1248243492
34,0.01,961.024636034977
35,0.01,999.906287555355
36,0.05,758.071202007696
37,0.05,727.631425737438
38,0.05,871.723271272659
39,0.05,728.661400771436
40,0.05,880.662397305147
41,0.1,884.237951165281
42,0.1,761.484456532932
43,0.1,692.562564475483
44,0.1,650.313229804645
45,0.1,713.309582852863
46,0.5,785.428719465746
47,0.5,718.658462095583
48,0.5,722.44201128448
49,0.5,611.500726235509
50,0.5,641.167931047118
51,1,682.368221455245
52,1,643.756981033334
53,1,623.073201871027
54,1,551.226068787564
55,1,703.371640038319
