"run","seed_percent","number_visits_sum"
1,1e-05,7.91974385584548
9,5e-05,6.95727043638641
10,5e-05,7.07638528455228
11,1e-04,8.23972839642997
12,1e-04,7.1348652255603
13,1e-04,8.13100457830384
14,1e-04,7.98596333428377
15,1e-04,7.78359127097387
16,5e-04,7.51989557193723
2,1e-05,7.21714234290669
3,1e-05,6.36374095149277
4,1e-05,7.6928618017441
5,1e-05,7.22611114532609
6,5e-05,7.70024456157231
7,5e-05,7.83782803947073
8,5e-05,6.38251189519995
17,5e-04,8.90406985388105
18,5e-04,7.40812935588696
19,5e-04,7.23357003479461
20,5e-04,7.52660066076741
21,0.001,7.89473406875436
22,0.001,7.03123698320402
23,0.001,6.24735770883201
24,0.001,7.93930564081576
25,0.001,5.72035280871233
26,0.005,6.60474794939891
27,0.005,4.34854162809327
28,0.005,6.51478932628517
29,0.005,6.14612849345486
30,0.005,7.26151347613523
31,0.01,5.46414027011226
32,0.01,5.48795626994995
33,0.01,5.91759973962458
34,0.01,6.73391605505499
35,0.01,5.62472646786929
36,0.05,4.06650645261552
37,0.05,4.19274274192931
38,0.05,4.76453229986085
39,0.05,3.20499689350071
40,0.05,4.62676246367399
41,0.1,4.98121753963389
42,0.1,3.89497839535942
43,0.1,2.53910549951693
44,0.1,3.82774955169173
45,0.1,3.21324356711479
46,0.5,4.03255194953765
47,0.5,3.26307596245879
48,0.5,3.10513085668953
49,0.5,2.87357890411764
50,0.5,3.5966688726021
51,1,3.19308183039732
52,1,3.5615080246377
53,1,3.47235861772689
54,1,2.77103794065206
55,1,2.92205743323408
