"run","seed_percent","","","",""
1,1e-05,0.00309389307056477,0.00219618296016233,0.00401182355793445,0.00526449525583848
2,1e-05,0.00405624985432528,0.0014636149521543,0.00373191613597554,0.00473022414710629
3,1e-05,0.00286795520311152,0.00292784457857716,0.00132054178069659,0.0040457242815256
4,1e-05,0.00359884025702939,5.61681865278777e-05,0.00601061614852458,0.0026241243660187
5,1e-05,0.00102105173715316,0.0020766244654496,0.00491972090156623,0.00460148347983261
6,5e-05,0.00310639316245794,0.00597168542354198,0.0059300281488569,0.000307296687518261
7,5e-05,0.00530005659682054,0.00420402146175847,0.00502208052604301,0.00256560421867007
8,5e-05,0.00357451933838099,0.00191444075084641,0.00297126119442784,0.00394867865966577
9,5e-05,0.00466535855291562,0.00593206181525972,0.00281622913661536,0.00106290342851196
10,5e-05,0.00358809154368963,0.00246964077318366,0.0013631865855226,0.00488800398673774
11,1e-04,0.00848459305298793,0.00274646995037749,0.00297474544622502,0.00187510669749675
12,1e-04,0.00622957894892234,0.00424123679157034,0.0041228527720274,0.00131078536357312
13,1e-04,0.00604607624672419,0.00288332860434859,0.00278545998724254,0.00306347092837898
14,1e-04,0.00199292549768318,0.00303503268515892,0.00759554998403711,0.00194785764550761
15,1e-04,0.00249541165645362,0.00335304406071849,0.00444726995021281,3.00604090213071e-06
16,5e-04,0.00539861946574967,0.00254683064273787,0.00402624657108394,6.10851724885889e-09
17,5e-04,0.00165408858348217,0.000375874714099038,0.00120134436708577,0.00573794987167772
18,5e-04,0.00572421067997556,0.00421169264011424,0.00194791943012038,0.0027633996472233
19,5e-04,0.00404432624773079,0.0057728816510138,0.00256386364361211,0.00171486626526585
20,5e-04,0.00255394053993749,0.00417684004448065,0.00370805225207944,0.00310349214116354
21,0.001,0.00149935645817544,0.00505878149078174,0.00232285845806008,1.06742949787796e-05
22,0.001,0.00290619224994493,0.00251096868712141,0.00358289038155531,0.00341024235545835
23,0.001,0.00277533088773819,0.0018185132363887,0.00247590710104507,0.00273923334609428
24,0.001,0.00290172367119523,0.00282862549624953,0.0100722741678842,0.00478471249679595
25,0.001,0.00319828734982141,0.00130215064466565,0.00113245553955334,0.00253458001223888
26,0.005,0.00307371679364909,0.00998866515300701,0.00316505471057216,0.00183097967908403
27,0.005,0.000813517165199468,0.00179464713639853,0.00178818983250892,0.00303941765023249
28,0.005,0.00302889167770498,0.000802458602149899,0.00180874647176187,0.0018473718784889
29,0.005,0.00256381823167788,0.00368946319235695,0.000886534878470309,0.000126527001850311
30,0.005,0.00305451474285836,0.00214545058991232,0.00729700004929688,0.0013885788973362
31,0.01,0.00109567240694236,0.000385025646948168,0.00381504039766619,0.00117959371863966
32,0.01,0.00153430606615778,0.00432985153241239,2.23699572512258e-05,0.000584355442356083
33,0.01,0.00268314251140012,0.00252018816199958,1.34699553705107e-06,0.00141524358795179
34,0.01,0.000779557040674731,0.00421975469984942,0,0.00318061705208095
35,0.01,0.00181093318684609,0.00158747513958869,0.00177681120591294,0.00225949596997773
36,0.05,0.00132484557202136,0.00229181497501276,0.00163483646940472,2.6158962471954e-05
37,0.05,0.000478311508681805,0.0026042976270331,0.000679698853174872,0.00201619328095766
38,0.05,4.50755725366102e-08,0.00231661534371023,0.00234390022006192,0.000754330526658699
39,0.05,0.000743893079134719,0.00103048456661389,0.00138326920596402,0.0012910214918729
40,0.05,0.00257870095535946,0.00107133196565844,0.000455414908739203,0.000936866470928563
41,0.1,0.00191716191249523,0.00152411260949815,0.00204964513769728,0.00081927346429974
42,0.1,0.000449803821722318,0.00169780262260643,0.00176932423899751,0.000882873237483345
43,0.1,0.000512050013636374,0.00146661754903458,0.00106399599114952,0.000791994415403421
44,0.1,0.00114560349813933,0.0019387507269072,0.00166367398964033,0.001359577023908
45,0.1,0.000674662281350858,0.000763322321337996,0.00203021310601323,0.0017608006267598
46,0.5,0.00147733012567686,0.00196883303323162,0.000488289037347311,0.000169788486574268
47,0.5,0.000757880263736327,0.00130775934516881,0.000909990461744599,0.00147060318434869
48,0.5,0.00043556038135333,2.13962244974801e-05,0.00128054987478968,0.00211996566888502
49,0.5,0.0011915365837593,0.000943012607582785,0.00102421133180696,0.000951030904802204
50,0.5,0.000457525548538216,0.000932496309975223,0.00133419899336964,0.00180119695479331
51,1,0.00166444283385957,0.00184373263497307,0.000636377730852864,5.11053543028081e-06
52,1,0.00158196742408207,0.00157323036906442,0.00137779476118846,0.000238317097551975
53,1,0.00133327909825361,0.000699853726568805,9.2431365221906e-05,0.00213089394449734
54,1,0.000209322201073176,0.000355209024641363,0.00216363589019059,0.00124227538270254
55,1,0.000264833067601003,0.000721868222485197,0.00127911117356278,0.0010956726964606
