"run","seed_percent","","","",""
1,1e-05,448,147,258,329
2,1e-05,257,341,241,317
3,1e-05,508,281,131,294
4,1e-05,326,54,387,372
5,1e-05,116,373,271,356
6,5e-05,537,283,159,294
7,5e-05,266,269,239,296
8,5e-05,140,130,251,388
9,5e-05,353,247,177,239
10,5e-05,289,235,156,448
11,1e-04,252,268,272,391
12,1e-04,186,564,105,54
13,1e-04,227,306,545,152
14,1e-04,65,452,270,446
15,1e-04,215,486,478,105
16,5e-04,329,723,106,5
17,5e-04,274,39,165,792
18,5e-04,139,263,36,668
19,5e-04,503,65,371,238
20,5e-04,42,313,250,575
21,0.001,265,810,62,29
22,0.001,228,567,12,329
23,0.001,321,108,258,499
24,0.001,304,776,39,26
25,0.001,422,135,228,373
26,0.005,294,109,242,306
27,0.005,210,139,399,158
28,0.005,595,32,153,383
29,0.005,228,485,312,45
30,0.005,528,343,99,90
31,0.01,204,41,506,180
32,0.01,301,313,47,224
33,0.01,333,375,21,181
34,0.01,287,521,1,153
35,0.01,484,270,90,155
36,0.05,245,129,338,46
37,0.05,35,252,241,199
38,0.05,3,454,320,94
39,0.05,186,205,242,97
40,0.05,451,216,16,197
41,0.1,75,306,492,10
42,0.1,20,324,359,59
43,0.1,197,194,235,66
44,0.1,141,230,244,36
45,0.1,20,255,89,349
46,0.5,389,364,32,1
47,0.5,13,157,148,401
48,0.5,52,12,114,545
49,0.5,56,253,140,163
50,0.5,24,224,253,140
51,1,402,168,110,2
52,1,295,95,242,11
53,1,327,52,28,217
54,1,51,87,233,181
55,1,15,124,402,164
