run; day; pollinator_agent; pollinator_species; plant_patch; plant_species; flower_density; habitat; foraging_distance
1002161252;0;10;7;(patch 381 557);1;10;1;3.606
1002161252;0;9;7;(patch 381 557);1;9;1;3.606
1002161252;0;69;1;(patch 545 191);1;12;1;1.414
1002161252;0;17;2;(patch 526 74);2;15;2;1.414
1002161252;0;45;4;(patch 327 577);1;9;1;3.162
1002161252;0;78;5;(patch 342 463);5;13;5;3.606
1002161252;0;21;2;(patch 526 74);2;14;2;1.414
1002161252;0;2;3;(patch 270 458);3;16;3;1.414
1002161252;0;59;8;(patch 306 118);6;10;6;3
1002161252;0;52;4;(patch 369 421);1;12;1;4
1002161252;0;18;2;(patch 525 76);3;13;3;2.236
1002161252;0;6;7;(patch 381 557);1;8;1;3.606
1002161252;0;3;4;(patch 583 321);1;12;1;3.162
1002161252;0;30;3;(patch 207 140);3;14;3;3.606
1002161252;0;27;3;(patch 538 433);3;16;3;3.606
1002161252;0;50;4;(patch 299 386);1;10;1;3.162
1002161252;0;49;4;(patch 314 64);1;10;1;3.606
1002161252;0;4;5;(patch 342 463);5;12;5;3.606
1002161252;0;26;3;(patch 83 162);3;12;3;3.606
1002161252;0;58;8;(patch 306 118);6;9;6;3
1002161252;0;56;8;(patch 306 118);6;8;6;3
1002161252;0;32;3;(patch 84 335);3;15;3;2.828
1002161252;0;15;7;(patch 381 557);1;7;1;3.606
1002161252;0;72;5;(patch 342 463);5;11;5;3.606
1002161252;0;63;1;(patch 545 191);1;11;1;1.414
1002161252;0;76;5;(patch 342 463);5;10;5;3.606
1002161252;0;13;7;(patch 381 557);1;6;1;3.606
1002161252;0;8;7;(patch 381 557);1;5;1;3.606
1002161252;0;64;1;(patch 545 191);1;10;1;1.414
1002161252;0;33;3;(patch 399 417);3;15;3;3.606
1002161252;0;5;6;(patch 423 440);6;13;6;9
1002161252;0;67;1;(patch 545 191);1;9;1;1.414
1002161252;0;22;2;(patch 526 74);2;13;2;1.414
1002161252;0;7;8;(patch 306 118);6;7;6;3
1002161252;0;47;4;(patch 434 387);1;16;1;1
1002161252;0;16;7;(patch 381 557);1;4;1;3.606
1002161252;0;34;3;(patch 135 329);2;16;2;3.606
1002161252;0;31;3;(patch 97 546);3;13;3;2.236
1002161252;0;74;5;(patch 342 463);5;9;5;3.606
1002161252;0;54;8;(patch 306 118);6;6;6;3
1002161252;0;44;4;(patch 524 73);5;14;5;2.828
1002161252;0;1;2;(patch 525 76);3;12;3;2.236
1002161252;0;48;4;(patch 485 229);1;9;1;3.606
1002161252;0;65;1;(patch 545 191);1;8;1;1.414
1002161252;0;29;3;(patch 144 370);3;13;3;1.414
1002161252;0;62;1;(patch 545 191);1;7;1;1.414
1002161252;0;12;7;(patch 381 557);1;3;1;3.606
1002161252;0;55;8;(patch 308 117);5;9;5;1.414
1002161252;0;28;3;(patch 370 283);3;16;3;2.236
1002161252;0;14;7;(patch 381 557);1;2;1;3.606
1002161252;0;66;1;(patch 545 191);1;6;1;1.414
1002161252;0;25;2;(patch 527 78);3;12;3;3
1002161252;0;57;8;(patch 306 118);6;5;6;3
1002161252;0;71;5;(patch 344 465);5;9;5;1
1002161252;0;46;4;(patch 482 410);1;15;1;3
1002161252;0;20;2;(patch 526 74);2;12;2;1.414
1002161252;0;79;5;(patch 342 464);4;16;4;3.162
1002161252;0;0;1;(patch 545 191);1;5;1;1.414
1002161252;0;61;8;(patch 309 117);4;5;4;1
1002161252;0;75;5;(patch 342 464);4;15;4;3.162
1002161252;0;23;2;(patch 525 76);3;11;3;2.236
1002161252;0;73;5;(patch 344 465);5;8;5;1
1002161252;0;77;5;(patch 342 463);5;8;5;3.606
1002161252;0;68;1;(patch 547 189);4;9;4;3.162
1002161252;0;70;1;(patch 544 193);1;4;1;2.236
1002161252;0;60;8;(patch 308 117);5;8;5;1.414
1002161252;0;24;2;(patch 527 78);3;11;3;3
1002161252;0;19;2;(patch 526 74);2;11;2;1.414
1002161252;0;53;8;(patch 306 118);6;4;6;3
1002161252;0;51;4;(patch 21 306);1;7;1;3.606
1002161252;0;11;7;(patch 381 557);1;1;1;3.606
1002161252;0.0017;52;4;(patch 372 423);1;13;1;8
1002161252;0.0017;1;2;(patch 520 75);4;16;4;7.236
1002161252;0.0017;60;8;(patch 304 94);5;13;5;24.414
1002161252;0.0017;79;5;(patch 347 453);3;7;3;15.162
1002161252;0.0017;25;2;(patch 529 83);1;5;1;8
1002161252;0.0017;17;2;(patch 523 74);2;15;2;4.414
1002161252;0.0017;42;6;(patch 429 437);6;13;6;11.305
1002161252;0.0017;29;3;(patch 135 369);3;12;3;10.414
1002161252;0.0017;21;2;(patch 525 71);3;16;3;4.414
1002161252;0.0017;38;6;(patch 428 428);6;15;6;8.975
1002161252;0.0017;71;5;(patch 332 471);3;8;3;14
1002161252;0.0017;11;7;(patch 388 559);5;14;5;10.606
1002161252;0.0017;41;6;(patch 434 438);6;10;6;14.471
1002161252;0.0017;43;6;(patch 428 428);6;14;6;7.224
