"","run","seed_percent","pollinator_species","pol.bm","pol.soc","pl.no.vis"
"103",1061934868,0.000219691659934061,7,1.244,3,1
"104",1061934868,0.000219691659934061,8,5.728,3,1
"105",1062165347,0.0130442953785985,1,1.924,0,2
"106",1062165347,0.0130442953785985,2,5.023,0,3
"107",1062165347,0.0130442953785985,3,4.184,1,4
"108",1062165347,0.0130442953785985,4,1.632,1,4
"109",1062165347,0.0130442953785985,5,4.137,2,4
"110",1062165347,0.0130442953785985,6,4.856,2,4
"111",1062165347,0.0130442953785985,7,7.206,3,4
"112",1062165347,0.0130442953785985,8,5.173,3,4
"113",1068097192,0.000867416047711844,1,5.364,0,3
"114",1068097192,0.000867416047711844,2,7.516,0,4
"115",1068097192,0.000867416047711844,3,4.503,1,3
"116",1068097192,0.000867416047711844,4,5.889,1,2
"117",1068097192,0.000867416047711844,5,7.267,2,3
"118",1068097192,0.000867416047711844,6,2.516,2,4
"119",1068097192,0.000867416047711844,7,4.666,3,3
"120",1068097192,0.000867416047711844,8,4.057,3,2
"121",1068619718,0.588714992569675,1,7.587,0,6
"122",1068619718,0.588714992569675,2,4.415,0,5
"123",1068619718,0.588714992569675,3,2.526,1,6
"124",1068619718,0.588714992569675,4,7.363,1,6
"125",1068619718,0.588714992569675,5,3.81,2,6
"126",1068619718,0.588714992569675,6,7.554,2,6
"127",1068619718,0.588714992569675,7,3.012,3,5
"128",1068619718,0.588714992569675,8,2.169,3,5
"129",1069168765,1.73683476941386e-05,2,7.443,0,1
"130",1069168765,1.73683476941386e-05,3,1.24,1,1
"131",1069168765,1.73683476941386e-05,7,2.862,3,1
"132",1069168765,1.73683476941386e-05,8,6.524,3,1
"133",1069320434,0.0867815525232106,1,1.507,0,1
"134",1069320434,0.0867815525232106,2,6.517,0,1
"135",1069320434,0.0867815525232106,3,4.013,1,2
"136",1069320434,0.0867815525232106,4,2.85,1,3
"137",1069320434,0.0867815525232106,5,3.028,2,4
"138",1069320434,0.0867815525232106,6,3.39,2,1
"139",1069320434,0.0867815525232106,7,6.791,3,3
"140",1069320434,0.0867815525232106,8,6.44,3,2
"141",1071681091,0.126530869258067,1,4.197,0,6
"142",1071681091,0.126530869258067,2,4.298,0,6
"143",1071681091,0.126530869258067,3,4.281,1,5
"144",1071681091,0.126530869258067,4,3.637,1,5
"145",1071681091,0.126530869258067,5,4.817,2,6
"146",1071681091,0.126530869258067,6,7.326,2,6
"147",1071681091,0.126530869258067,7,5.164,3,5
"148",1071681091,0.126530869258067,8,6.584,3,5
"149",1072584514,0.0897141302027008,1,1.989,0,4
"150",1072584514,0.0897141302027008,2,7.537,0,4
"151",1072584514,0.0897141302027008,3,2.457,1,3
"152",1072584514,0.0897141302027008,4,6.862,1,4
"153",1072584514,0.0897141302027008,5,7.22,2,3
"154",1072584514,0.0897141302027008,6,1.916,2,3
"155",1072584514,0.0897141302027008,7,3.575,3,4
"156",1072584514,0.0897141302027008,8,3.527,3,3
"157",1074956237,0.655135625827792,1,2.304,0,4
"158",1074956237,0.655135625827792,2,2.855,0,5
"159",1074956237,0.655135625827792,3,7.279,1,6
"160",1074956237,0.655135625827792,4,4.259,1,6
"161",1074956237,0.655135625827792,5,4.778,2,5
"162",1074956237,0.655135625827792,6,1.823,2,5
"163",1074956237,0.655135625827792,7,5.713,3,4
"164",1074956237,0.655135625827792,8,4.832,3,5
"165",1077858522,0.92435540246151,1,5.031,0,6
"166",1077858522,0.92435540246151,2,7.812,0,6
"167",1077858522,0.92435540246151,3,6.38,1,6
"168",1077858522,0.92435540246151,4,1.394,1,6
"169",1077858522,0.92435540246151,5,6.627,2,6
"170",1077858522,0.92435540246151,6,2.571,2,6
"171",1077858522,0.92435540246151,7,1.22,3,6
"172",1077858522,0.92435540246151,8,6.415,3,6
"173",1080460797,0.00022080792802425,1,4.058,0,2
"174",1080460797,0.00022080792802425,2,3.517,0,2
"175",1080460797,0.00022080792802425,3,7.435,1,1
"176",1080460797,0.00022080792802425,5,7.131,2,3
"177",1080460797,0.00022080792802425,7,2.994,3,1
"178",1080460797,0.00022080792802425,8,1.367,3,1
"179",1086564123,0.000325081123152447,1,4.364,0,1
"180",1086564123,0.000325081123152447,3,6.705,1,2
"181",1086564123,0.000325081123152447,4,1.21,1,2
"182",1086564123,0.000325081123152447,5,6.215,2,1
"183",1086564123,0.000325081123152447,6,2.566,2,3
"184",1086564123,0.000325081123152447,7,4.326,3,1
"185",1086564123,0.000325081123152447,8,1.927,3,1
"186",1092291762,8.98471298318291e-05,2,5.883,0,1
"187",1092291762,8.98471298318291e-05,3,6.046,1,3
"188",1092291762,8.98471298318291e-05,4,4.005,1,1
"189",1092291762,8.98471298318291e-05,5,4.749,2,1
"190",1092291762,8.98471298318291e-05,6,7.073,2,1
"191",1092291762,8.98471298318291e-05,7,4.904,3,1
"192",1092291762,8.98471298318291e-05,8,7.351,3,2
"193",1100459446,0.0216875526366293,1,6.401,0,2
"194",1100459446,0.0216875526366293,2,3.78,0,2
"195",1100459446,0.0216875526366293,3,3.876,1,1
"196",1100459446,0.0216875526366293,4,1.866,1,3
"197",1100459446,0.0216875526366293,5,7.997,2,1
"198",1100459446,0.0216875526366293,6,4.719,2,3
"199",1100459446,0.0216875526366293,7,4.292,3,4
"200",1100459446,0.0216875526366293,8,3.021,3,1
"201",1111178347,0.36509523010681,1,5.031,0,4
"202",1111178347,0.36509523010681,2,6.757,0,5
"203",1111178347,0.36509523010681,3,4.775,1,3
"204",1111178347,0.36509523010681,4,5.065,1,4
"205",1111178347,0.36509523010681,5,4.65,2,3
"206",1111178347,0.36509523010681,6,6.931,2,4
"207",1111178347,0.36509523010681,7,3.528,3,1
"208",1111178347,0.36509523010681,8,4.96,3,4
"209",1112687053,0.00464998705689314,1,3.976,0,4
"210",1112687053,0.00464998705689314,2,4.933,0,4
"211",1112687053,0.00464998705689314,3,3.832,1,4
"212",1112687053,0.00464998705689314,4,7.979,1,4
"213",1112687053,0.00464998705689314,5,4.255,2,4
"214",1112687053,0.00464998705689314,6,2.587,2,4
"215",1112687053,0.00464998705689314,7,2.973,3,5
"216",1112687053,0.00464998705689314,8,2.654,3,5
"217",1113646290,0.520422072979882,1,7.766,0,1
"218",1113646290,0.520422072979882,2,1.289,0,2
"219",1113646290,0.520422072979882,3,4.341,1,2
"220",1113646290,0.520422072979882,4,3.494,1,1
"221",1113646290,0.520422072979882,5,6.163,2,1
"222",1113646290,0.520422072979882,6,4.124,2,3
"223",1113646290,0.520422072979882,7,3.989,3,1
"224",1113646290,0.520422072979882,8,2.343,3,2
"225",1114800128,0.0316910995386223,1,3.473,0,2
"226",1114800128,0.0316910995386223,2,2.622,0,4
"227",1114800128,0.0316910995386223,3,3.07,1,3
"228",1114800128,0.0316910995386223,4,5.442,1,4
"229",1114800128,0.0316910995386223,5,7.234,2,3
"230",1114800128,0.0316910995386223,6,5.241,2,5
"231",1114800128,0.0316910995386223,7,2.772,3,1
"232",1114800128,0.0316910995386223,8,3.956,3,3
"233",1115782484,0.486232661347393,1,1.943,0,4
"234",1115782484,0.486232661347393,2,4.131,0,6
"235",1115782484,0.486232661347393,3,7.793,1,5
